base	list_count	back_count	tot_list	tot_back	P_value	Bonf_corr	FDR	Term	Entry	URL_Term	Significant
GO:0047389	2	3	449	8474	0.008109024824148494	1.0	0.08027934576	glycerophosphocholine phosphodiesterase activity	B6HJB2;B6HF29	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0047389"" target=""_blank"" rel=""nofollow"">GO:0047389</a>"	F
GO:0004815	2	3	449	8474	0.008109024824148494	1.0	0.08027934576	aspartate-tRNA ligase activity	B6GZ24;B6HSX6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004815"" target=""_blank"" rel=""nofollow"">GO:0004815</a>"	F
GO:0080025	2	3	449	8474	0.008109024824148494	1.0	0.08027934576	phosphatidylinositol-3,5-bisphosphate binding	B6HEL3;A7KAM8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0080025"" target=""_blank"" rel=""nofollow"">GO:0080025</a>"	F
GO:0016887	19	201	449	8474	0.010094822481150593	1.0	0.09517975482	ATP hydrolysis activity	B6H219;B6GWG5;B6HAI2;B6HKB0;B6H856;B6H992;B6H6B5;B6HH46;B6HM37;B6GZ02;B6HJ39;B6HM77;B6HQB6;B6HFP3;B6H0F9;B6HDG7;B6HJT0;B6H3C4;B6HGW3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0016887"" target=""_blank"" rel=""nofollow"">GO:0016887</a>"	F
GO:0015297	4	18	449	8474	0.013148907797306094	1.0	0.10619090683	antiporter activity	B6HM90;B6HC45;B6HM79;B6HUW0	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015297"" target=""_blank"" rel=""nofollow"">GO:0015297</a>"	F
GO:0004842	3	10	449	8474	0.013410058250342834	1.0	0.10619090683	ubiquitin-protein transferase activity	B6H981;B6GYM5;B6HCV8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004842"" target=""_blank"" rel=""nofollow"">GO:0004842</a>"	F
GO:0070628	3	10	449	8474	0.013410058250342834	1.0	0.10619090683	proteasome binding	B6H8F8;B6HVK0;B6H4H6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0070628"" target=""_blank"" rel=""nofollow"">GO:0070628</a>"	F
GO:0003682	6	38	449	8474	0.013944260492352695	1.0	0.10619090683	chromatin binding	B6GXE9;B6H981;B6H992;B6HEX3;B6GYX9;B6HJT0	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003682"" target=""_blank"" rel=""nofollow"">GO:0003682</a>"	F
GO:0003743	6	38	449	8474	0.013944260492352695	1.0	0.10619090683	translation initiation factor activity	B6HVP9;B6H3P2;B6HR70;B6HLK3;B6HK34;B6H835	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003743"" target=""_blank"" rel=""nofollow"">GO:0003743</a>"	F
GO:0019825	2	4	449	8474	0.015650134826487156	1.0	0.11066881056	oxygen binding	B6HCY7;B6H132	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0019825"" target=""_blank"" rel=""nofollow"">GO:0019825</a>"	F
GO:0047657	2	4	449	8474	0.015650134826487156	1.0	0.11066881056	alpha-1,3-glucan synthase activity	B6H8S9;B6HVZ7	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0047657"" target=""_blank"" rel=""nofollow"">GO:0047657</a>"	F
GO:0035064	3	11	449	8474	0.017724611410530253	1.0	0.12101631239	methylated histone binding	B6HTW2;B6GYX9;B6HBT9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0035064"" target=""_blank"" rel=""nofollow"">GO:0035064</a>"	F
GO:0051015	5	30	449	8474	0.019416588164874952	1.0	0.12814948189	actin filament binding	B6HNK2;B6GZJ0;B6HBV0;B6HEL3;B6H033	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0051015"" target=""_blank"" rel=""nofollow"">GO:0051015</a>"	F
GO:0008017	5	31	449	8474	0.022173598953478167	1.0	0.13632029437	microtubule binding	B6H7V7;B6H720;B6HIV1;B6HLJ3;B6H4W6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008017"" target=""_blank"" rel=""nofollow"">GO:0008017</a>"	F
GO:0017018	3	12	449	8474	0.022720049061185986	1.0	0.13632029437	myosin phosphatase activity	B6HK37;B6HCN9;B6HI67	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0017018"" target=""_blank"" rel=""nofollow"">GO:0017018</a>"	F
GO:0003746	3	12	449	8474	0.022720049061185986	1.0	0.13632029437	translation elongation factor activity	B6H4G8;B6H0R1;B6H0F9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003746"" target=""_blank"" rel=""nofollow"">GO:0003746</a>"	F
GO:0043021	2	5	449	8474	0.02517431043431932	1.0	0.14660333724	ribonucleoprotein complex binding	B6H7B5;B6H209	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0043021"" target=""_blank"" rel=""nofollow"">GO:0043021</a>"	F
GO:0004693	2	6	449	8474	0.03645116377095632	1.0	0.19514196651	cyclin-dependent protein serine/threonine kinase activity	B6GZZ5;B6HFM6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004693"" target=""_blank"" rel=""nofollow"">GO:0004693</a>"	F
GO:0004707	2	6	449	8474	0.03645116377095632	1.0	0.19514196651	MAP kinase activity	B6H4Y0;B6H467	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004707"" target=""_blank"" rel=""nofollow"">GO:0004707</a>"	F
GO:0016757	6	47	449	8474	0.03646592303534067	1.0	0.19514196651	glycosyltransferase activity	B6HBF2;B6H9E4;B6HKH7;B6HF18;B6GZY9;B6HV58	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0016757"" target=""_blank"" rel=""nofollow"">GO:0016757</a>"	F
GO:0042393	4	27	449	8474	0.05193255117072415	1.0	0.27059592452	histone binding	B6H992;B6HUT8;B6H0F6;B6HJT0	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0042393"" target=""_blank"" rel=""nofollow"">GO:0042393</a>"	F
GO:0051087	3	17	449	8474	0.05777460753477194	1.0	0.27900908029	protein-folding chaperone binding	B6H9L7;B6HTZ3;B6HU41	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0051087"" target=""_blank"" rel=""nofollow"">GO:0051087</a>"	F
GO:0003713	3	17	449	8474	0.05777460753477194	1.0	0.27900908029	transcription coactivator activity	B6H0N5;B6H9V4;B6HNQ4	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003713"" target=""_blank"" rel=""nofollow"">GO:0003713</a>"	F
GO:0003690	3	17	449	8474	0.05777460753477194	1.0	0.27900908029	double-stranded DNA binding	B6HPE8;B6GZ02;B6H610	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003690"" target=""_blank"" rel=""nofollow"">GO:0003690</a>"	F
GO:0003730	2	8	449	8474	0.0634337974251899	1.0	0.299045045	mRNA 3'-UTR binding	B6H844;B6HGJ5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003730"" target=""_blank"" rel=""nofollow"">GO:0003730</a>"	F
GO:0140662	3	19	449	8474	0.07621094276993945	1.0	0.34657627057	ATP-dependent protein folding chaperone	B6HVA2;B6H9L7;B6HPY0	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0140662"" target=""_blank"" rel=""nofollow"">GO:0140662</a>"	F
GO:0015369	2	9	449	8474	0.07876733421953501	1.0	0.34657627057	calcium:proton antiporter activity	B6H2X6;B6HKC1	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015369"" target=""_blank"" rel=""nofollow"">GO:0015369</a>"	F
GO:0051010	2	9	449	8474	0.07876733421953501	1.0	0.34657627057	microtubule plus-end binding	B6HF93;B6HBU7	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0051010"" target=""_blank"" rel=""nofollow"">GO:0051010</a>"	F
GO:0030515	2	10	449	8474	0.09510665321190888	1.0	0.34696039292	snoRNA binding	B6GYE8;B6H2L3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0030515"" target=""_blank"" rel=""nofollow"">GO:0030515</a>"	F
GO:0031267	3	21	449	8474	0.09687835936920655	1.0	0.34696039292	small GTPase binding	B6GX48;B6HDY7;B6HV55	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0031267"" target=""_blank"" rel=""nofollow"">GO:0031267</a>"	F
GO:0004475	2	11	449	8474	0.11230266250109754	1.0	0.34696039292	mannose-1-phosphate guanylyltransferase (GTP) activity	B6GZ79;B6H728	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004475"" target=""_blank"" rel=""nofollow"">GO:0004475</a>"	F
GO:0140359	4	38	449	8474	0.13989722747307248	1.0	0.34696039292	ABC-type transporter activity	B6HAI2;B6HH46;B6HM37;B6HQB6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0140359"" target=""_blank"" rel=""nofollow"">GO:0140359</a>"	F
GO:0003714	2	13	449	8474	0.1487320142229966	1.0	0.34696039292	transcription corepressor activity	B6HD93;B6H0M1	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003714"" target=""_blank"" rel=""nofollow"">GO:0003714</a>"	F
GO:0015095	2	13	449	8474	0.1487320142229966	1.0	0.34696039292	magnesium ion transmembrane transporter activity	B6HVA9;B6H2C4	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015095"" target=""_blank"" rel=""nofollow"">GO:0015095</a>"	F
GO:0033229	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	cysteine transmembrane transporter activity	B6HQE5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0033229"" target=""_blank"" rel=""nofollow"">GO:0033229</a>"	F
GO:0008353	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	RNA polymerase II CTD heptapeptide repeat kinase activity	B6HKY3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008353"" target=""_blank"" rel=""nofollow"">GO:0008353</a>"	F
GO:0097367	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	carbohydrate derivative binding	B6H5U0	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0097367"" target=""_blank"" rel=""nofollow"">GO:0097367</a>"	F
GO:0004088	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	B6HMK8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004088"" target=""_blank"" rel=""nofollow"">GO:0004088</a>"	F
GO:0004630	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	phospholipase D activity	B6HIC8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004630"" target=""_blank"" rel=""nofollow"">GO:0004630</a>"	F
GO:0015631	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	tubulin binding	B6HW04	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015631"" target=""_blank"" rel=""nofollow"">GO:0015631</a>"	F
GO:0004407	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	histone deacetylase activity	B6HBE9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004407"" target=""_blank"" rel=""nofollow"">GO:0004407</a>"	F
GO:0004534	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	5'-3' RNA exonuclease activity	B6HAA4	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004534"" target=""_blank"" rel=""nofollow"">GO:0004534</a>"	F
GO:0004722	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	protein serine/threonine phosphatase activity	B6HLH3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004722"" target=""_blank"" rel=""nofollow"">GO:0004722</a>"	F
GO:0016410	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	N-acyltransferase activity	B6H8A9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0016410"" target=""_blank"" rel=""nofollow"">GO:0016410</a>"	F
GO:0140107	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	high-affinity potassium ion transmembrane transporter activity	B6HJ17	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0140107"" target=""_blank"" rel=""nofollow"">GO:0140107</a>"	F
GO:0042288	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	MHC class I protein binding	B6HI29	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0042288"" target=""_blank"" rel=""nofollow"">GO:0042288</a>"	F
GO:0052856	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	NADHX epimerase activity	B6HL56	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0052856"" target=""_blank"" rel=""nofollow"">GO:0052856</a>"	F
GO:0052857	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	NADPHX epimerase activity	B6HL56	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0052857"" target=""_blank"" rel=""nofollow"">GO:0052857</a>"	F
GO:0004305	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	ethanolamine kinase activity	B6HA09	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004305"" target=""_blank"" rel=""nofollow"">GO:0004305</a>"	F
GO:0042910	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	xenobiotic transmembrane transporter activity	B6HM79	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0042910"" target=""_blank"" rel=""nofollow"">GO:0042910</a>"	F
GO:0008519	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	ammonium transmembrane transporter activity	B6HSP6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008519"" target=""_blank"" rel=""nofollow"">GO:0008519</a>"	F
GO:0004035	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	alkaline phosphatase activity	B6HBI3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004035"" target=""_blank"" rel=""nofollow"">GO:0004035</a>"	F
GO:0004694	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	eukaryotic translation initiation factor 2alpha kinase activity	B6HND6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004694"" target=""_blank"" rel=""nofollow"">GO:0004694</a>"	F
GO:0005459	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	UDP-galactose transmembrane transporter activity	B6HP66	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005459"" target=""_blank"" rel=""nofollow"">GO:0005459</a>"	F
GO:0008941	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	nitric oxide dioxygenase NAD(P)H activity	B6H132	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008941"" target=""_blank"" rel=""nofollow"">GO:0008941</a>"	F
GO:0043495	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	protein-membrane adaptor activity	B6HL39	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0043495"" target=""_blank"" rel=""nofollow"">GO:0043495</a>"	F
GO:0008234	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	cysteine-type peptidase activity	A7KAL5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008234"" target=""_blank"" rel=""nofollow"">GO:0008234</a>"	F
GO:0004739	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	pyruvate dehydrogenase (acetyl-transferring) activity	B6HQM6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004739"" target=""_blank"" rel=""nofollow"">GO:0004739</a>"	F
GO:0015254	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	glycerol channel activity	B6H8Y5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015254"" target=""_blank"" rel=""nofollow"">GO:0015254</a>"	F
GO:0015203	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	polyamine transmembrane transporter activity	B6HFP3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015203"" target=""_blank"" rel=""nofollow"">GO:0015203</a>"	F
GO:0030943	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	mitochondrion targeting sequence binding	B6HEV7	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0030943"" target=""_blank"" rel=""nofollow"">GO:0030943</a>"	F
GO:0032934	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	sterol binding	B6HKH7	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0032934"" target=""_blank"" rel=""nofollow"">GO:0032934</a>"	F
GO:0004169	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	dolichyl-phosphate-mannose-protein mannosyltransferase activity	B6HEJ9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004169"" target=""_blank"" rel=""nofollow"">GO:0004169</a>"	F
GO:0004865	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	protein serine/threonine phosphatase inhibitor activity	B6H730	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004865"" target=""_blank"" rel=""nofollow"">GO:0004865</a>"	F
GO:0005302	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	L-tyrosine transmembrane transporter activity	B6H3Q3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005302"" target=""_blank"" rel=""nofollow"">GO:0005302</a>"	F
GO:0045504	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	dynein heavy chain binding	B6H8W3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0045504"" target=""_blank"" rel=""nofollow"">GO:0045504</a>"	F
GO:0004749	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	ribose phosphate diphosphokinase activity	B6HDQ1	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004749"" target=""_blank"" rel=""nofollow"">GO:0004749</a>"	F
GO:0015485	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	cholesterol binding	B6HDY6	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015485"" target=""_blank"" rel=""nofollow"">GO:0015485</a>"	F
GO:0019863	1	3	449	8474	0.15069996864085536	1.0	0.34696039292	IgE binding	B6HBX8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0019863"" target=""_blank"" rel=""nofollow"">GO:0019863</a>"	F
GO:0005198	2	14	449	8474	0.16772803079315873	1.0	0.37836110144	structural molecule activity	B6HR31;B6H3S1	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005198"" target=""_blank"" rel=""nofollow"">GO:0005198</a>"	F
GO:0004843	3	27	449	8474	0.16977638208955137	1.0	0.37836110144	cysteine-type deubiquitinase activity	B6HKL7;B6HKS1;B6GZA4	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004843"" target=""_blank"" rel=""nofollow"">GO:0004843</a>"	F
GO:0003924	7	86	449	8474	0.1700714041818555	1.0	0.37836110144	GTPase activity	B6HTX4;B6H720;B6H0R1;B6HKZ3;B6HIF1;B6H835;B6HGW3	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0003924"" target=""_blank"" rel=""nofollow"">GO:0003924</a>"	F
GO:0005227	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	calcium-activated cation channel activity	B6HTR9	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005227"" target=""_blank"" rel=""nofollow"">GO:0005227</a>"	F
GO:0070290	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	N-acylphosphatidylethanolamine-specific phospholipase D activity	B6HIC8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0070290"" target=""_blank"" rel=""nofollow"">GO:0070290</a>"	F
GO:0000246	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	delta24(24-1) sterol reductase activity	B6HQL2	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0000246"" target=""_blank"" rel=""nofollow"">GO:0000246</a>"	F
GO:0005254	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	chloride channel activity	B6HL36	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0005254"" target=""_blank"" rel=""nofollow"">GO:0005254</a>"	F
GO:0004314	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	[acyl-carrier-protein] S-malonyltransferase activity	B6H5P7	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004314"" target=""_blank"" rel=""nofollow"">GO:0004314</a>"	F
GO:0008553	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	P-type proton-exporting transporter activity	B6H6B5	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0008553"" target=""_blank"" rel=""nofollow"">GO:0008553</a>"	F
GO:0004439	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	B6HIL8	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0004439"" target=""_blank"" rel=""nofollow"">GO:0004439</a>"	F
GO:0090555	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	phosphatidylethanolamine flippase activity	B6H219	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0090555"" target=""_blank"" rel=""nofollow"">GO:0090555</a>"	F
GO:0015248	1	4	449	8474	0.19571657991217375	1.0	0.38751882823	obsolete sterol transporter activity	B6HKH7	"<a href=""https://www.ebi.ac.uk/QuickGO/term/GO:0015248"" target=""_blank"" rel=""nofollow"">GO:0015248</a>"	F
